country,life_exp,log_gdp,ave_pop,Continent
Morocco,64.70000028625,8.862796187375,33740120.63636363,Africa
Mozambique,49.06000028142857,6.871578284714286,25692449.545454547,Africa
Myanmar,58.04857199571428,8.517464910142857,51830472.0,Asia
Namibia,54.38500023,9.12257456775,2238688.4545454546,Africa
Nepal,59.784615736153846,7.646914372153846,27129393.90909091,Asia
Netherlands,71.58333333333333,10.744425614999999,16822000.727272727,Europe
New Zealand,72.25,10.4288194975,4518318.181818182,Oceania
Nicaragua,65.88461597076923,8.411732673692308,6064122.0,North America
Niger,50.24615361153846,6.746906390538461,18640744.363636363,Africa
Nigeria,46.99090923000001,8.536780357454544,172286184.27272728,Africa
Norway,72.49999904625,11.06864535875,5062428.7272727275,Europe
Oman,65.5,10.64831161,3768339.090909091,Asia
Pakistan,56.55384621230769,8.412500308153845,191543468.0,Asia
Panama,68.73076923076923,9.78613677376923,3840107.0,North America
Paraguay,64.61666679333334,8.93184534725,6513483.818181818,South America
Peru,66.66923053384616,9.26294202076923,29986224.09090909,South America
Philippines,60.95384627153847,8.720824315076923,98822875.27272727,Asia
Poland,67.60909132454546,10.031464749090908,38036780.09090909,Europe
Portugal,71.32363614181818,10.200863925454545,10445266.818181818,Europe
Qatar,67.18799896200001,11.72191887,2245650.909090909,Asia
Romania,65.71999994916666,9.862081765666668,19984639.636363637,Europe
Rwanda,57.212727287272735,7.3375463917272725,10855057.454545455,Africa
Saudi Arabia,64.84769263692307,10.778018144615384,29936047.545454547,Asia
Senegal,56.823076981538456,7.716239342461539,13841504.545454545,Africa
Serbia,66.78181735,9.487628676636364,7167956.0,Europe
Sierra Leone,45.10545453090909,7.183623270545454,6874386.636363637,Africa
Singapore,75.21333313000001,11.214671482727272,5332902.363636363,Asia
Slovenia,69.77272727272727,10.281543211818182,2055487.0909090908,Europe
South Africa,52.42307662923077,9.397474582307693,53721588.0,Africa
South Sudan,50.409999845,7.487881183333333,10152426.545454545,Africa
Spain,73.07846128076923,10.397789954615385,46530046.54545455,Europe
Sri Lanka,66.32499949083333,9.137228647833334,20712975.09090909,Asia
Sudan,54.331999968000005,8.2180471418,37213510.63636363,Africa
Suriname,62.24000168,9.624583244,546987.7272727273,South America
Sweden,72.0123085623077,10.694253849230769,9646957.909090908,Europe
Switzerland,73.02999973375,10.94450211625,8093233.818181818,Europe
Tajikistan,62.44166723916666,7.7301994959166676,8098703.545454546,Asia
Tanzania,53.54615372923077,7.721510960384616,48722746.54545455,Africa
Thailand,65.83846224153847,9.55897074476923,68077687.63636364,Asia
Togo,52.55500030625,7.182592094,6967189.090909091,Africa
Trinidad and Tobago,62.540000152000005,10.327441408,1352940.8181818181,North America
Tunisia,65.805999754,9.2670145035,10969354.909090908,Africa
Turkmenistan,60.82666651555556,9.517483711333334,5376530.363636363,Asia
Uganda,51.72307704153846,7.353104151153847,36062068.63636363,Africa
Ukraine,62.63076928923077,8.993583532461539,45441441.27272727,Europe
United Arab Emirates,66.50909077090908,11.081058936363636,8890851.0,Asia
United Kingdom,71.33999985846154,10.542613690769231,64162385.54545455,Europe
United States,68.48461562,10.84820123846154,315988284.8181818,North America
Uruguay,68.26153857923077,9.785182659384615,3391730.272727273,South America
Uzbekistan,63.59333292583333,8.486547390666667,30203536.363636363,Asia
Vietnam,66.83846165615385,8.483659157307692,90809745.54545455,Asia
Zambia,50.98333327,8.106403311,14993862.818181818,Africa
Zimbabwe,49.26923076923077,7.427388081230769,13370108.727272727,Africa
